'Index Name', 'Usage', 'Phase', 'Population', 'Avg Load Elapsed', 'Avg COMPLETE Elapsed', 'Avg HIGHCARD Elapsed', 'Avg LOWCARD Elapsed'
'BF-Trie8','Reference', 'Query', 100,2.1493800000000002E-4,8.069948000000001E-4,0.0063615094000000014,0.005793281
'BF-Trie8','Reference', 'Delete', 100,2.1493800000000002E-4,3.93558E-4,1.958932E-4,0.003410694
'BF-Trie8','Reference', 'Query', 1000,0.0032156406,0.0030387623999999997,0.047678332000000004,0.0696410678
'BF-Trie8','Reference', 'Delete', 1000,0.0032156406,2.3482240000000004E-4,1.827948E-4,2.067416E-4
'BF-Trie8','Reference', 'Query', 10000,0.007333351,0.014286706399999998,0.36571672460000004,0.6719020558000001
'BF-Trie8','Reference', 'Delete', 10000,0.007333351,9.52478E-4,1.6394960000000003E-4,1.497624E-4
'BF-Trie8','Reference', 'Query', 100000,0.0961064902,0.07254215160000001,3.4552830166000006,8.829340371399999
'BF-Trie8','Reference', 'Delete', 100000,0.0961064902,7.410388000000001E-4,1.5207980000000003E-4,1.467254E-4
'BF-Trie8','Reference', 'Query', 1000000,2.5411148944,0.39270827480000003,19.400463283200004,69.48098318840002
'BF-Trie8','Reference', 'Delete', 1000000,2.5411148944,0.001217367,1.330084E-4,9.888120000000002E-5
'Bloofi','Reference', 'Query', 100,0.008741025800000001,0.0068346932,0.005240832400000001,0.0035173540000000003
'Bloofi','Reference', 'Delete', 100,0.008741025800000001,0.0081219646,0.013093676600000001,0.031061053000000005
'Bloofi','Reference', 'Query', 1000,0.012929495800000001,0.012172505200000003,0.012090183600000002,0.011092143
'Bloofi','Reference', 'Delete', 1000,0.012929495800000001,0.018599456400000002,0.03307729460000001,0.0360356682
'Bloofi','Reference', 'Query', 10000,0.153077796,0.0966364806,0.1297004228,0.1405980986
'Bloofi','Reference', 'Delete', 10000,0.153077796,0.149102372,0.26551213360000003,0.3248930902
'Bloofi','Reference', 'Query', 100000,1.0147073906000001,1.0089702712000002,1.6481601358,2.5265092088000003
'Bloofi','Reference', 'Delete', 100000,1.0147073906000001,1.6221174672,4.6371546706,5.4058797634
'Bloofi','Reference', 'Query', 1000000,13.557188850400001,21.221908905,29.413951532800002,34.8751562004
'Bloofi','Reference', 'Delete', 1000000,13.557188850400001,2.7628104960000006,39.080022346999996,45.333283039
'FlatBloofi','Reference', 'Query', 100,8.963176E-4,0.0045598972,0.0073187958000000015,0.0094756148
'FlatBloofi','Reference', 'Delete', 100,8.963176E-4,8.374955999999999E-4,4.3374879999999997E-4,4.1065420000000006E-4
'FlatBloofi','Reference', 'Query', 1000,0.0031938456000000005,0.013815126600000002,0.012978604800000001,0.03296152780000001
'FlatBloofi','Reference', 'Delete', 1000,0.0031938456000000005,0.0035493302000000003,0.003507004,0.0035718194
'FlatBloofi','Reference', 'Query', 10000,0.0159273666,0.0321952548,0.0833519568,0.3385795904
'FlatBloofi','Reference', 'Delete', 10000,0.0159273666,0.004709422400000001,0.004013356,0.028100964200000002
'FlatBloofi','Reference', 'Query', 100000,0.160449986,0.24179908519999999,1.0841335646,5.3927094478
'FlatBloofi','Reference', 'Delete', 100000,0.160449986,0.0380718008,0.025067710799999997,0.0251698718
'FlatBloofi','Reference', 'Query', 1000000,8.5191752136,5.4249863202,7.15075713,61.1472892054
'FlatBloofi','Reference', 'Delete', 1000000,8.5191752136,0.523233677,0.43348368420000005,0.3501745584
'Hamming','Reference', 'Query', 100,0.0054094908000000014,0.037453282,0.0624745252,0.040656491
'Hamming','Reference', 'Delete', 100,0.0054094908000000014,0.0022421234,6.30835E-4,6.618744E-4
'Hamming','Reference', 'Query', 1000,0.003797292,0.012332677400000002,0.064256719,0.0644705856
'Hamming','Reference', 'Delete', 1000,0.003797292,0.0022151764000000003,0.0010827738,0.0010952738
'Hamming','Reference', 'Query', 10000,0.0322859974,0.12461760620000002,0.3757285886,0.6015666398
'Hamming','Reference', 'Delete', 10000,0.0322859974,0.0020953098000000003,0.0012880818,0.001343715
'Hamming','Reference', 'Query', 100000,0.3056456692,1.5963113420000001,5.9266987262,5.6930811964000005
'Hamming','Reference', 'Delete', 100000,0.3056456692,0.0022187356,7.136316E-4,6.517238E-4
'Hamming','Reference', 'Query', 1000000,2.475712551,30.0421809262,56.96161208940001,59.9659004942
'Hamming','Reference', 'Delete', 1000000,2.475712551,0.0042834236,9.877856E-4,9.363766E-4
'List','Reference', 'Query', 100,2.42508E-5,0.0053169806,0.0016132488000000001,6.957090000000001E-4
'List','Reference', 'Delete', 100,2.42508E-5,0.0063573460000000016,0.0063775576,0.006327292400000001
'List','Reference', 'Query', 1000,1.8109080000000002E-4,0.007794107,0.0082395668,0.009039400200000002
'List','Reference', 'Delete', 1000,1.8109080000000002E-4,0.0246245562,0.0205015638,0.019881135400000003
'List','Reference', 'Query', 10000,0.003940109,0.1324978286,0.10141961699999999,0.1041444376
'List','Reference', 'Delete', 10000,0.003940109,0.1728297896,0.15107107340000003,0.1498290424
'List','Reference', 'Query', 100000,0.0072639394,0.6619382631999999,0.7526505978,1.1172161674
'List','Reference', 'Delete', 100000,0.0072639394,1.6107395338,1.5110972628,1.7530987578000001
'List','Reference', 'Query', 1000000,0.0828766348,11.0642550704,11.506899114600001,15.463413348200001
'List','Reference', 'Delete', 1000000,0.0828766348,15.2580564004,19.679727035600003,19.6478247234
'NaturalBloofi','Reference', 'Query', 100,0.0601946388,0.012352751,0.0052916072,0.0047659396000000005
'NaturalBloofi','Reference', 'Delete', 100,0.0601946388,0.0044404588,0.0021434374000000003,0.0021143019999999998
'NaturalBloofi','Reference', 'Query', 1000,0.050222146,0.008760367799999998,0.0042190228000000005,0.003994226000000001
'NaturalBloofi','Reference', 'Delete', 1000,0.050222146,0.0015925648000000001,0.0014485918,0.0014844266
'NaturalBloofi','Reference', 'Query', 10000,5.1470319278000005,0.021203480400000002,0.024284872600000004,0.015182811800000001
'NaturalBloofi','Reference', 'Delete', 10000,5.1470319278000005,0.0114345344,0.0080018376,0.001839358
'NaturalBloofi','Reference', 'Query', 100000,249.0157484298,0.0226565754,0.027067750600000003,0.013993323000000002
'NaturalBloofi','Reference', 'Delete', 100000,249.0157484298,0.015263831600000003,0.040116843400000005,0.0084676256
'NaturalBloofi','Reference', 'Query', 1000000,18102.9759979164,0.4337019328,0.19756432080000003,0.09839338160000001
'NaturalBloofi','Reference', 'Delete', 1000000,18102.9759979164,0.07759721040000002,0.1698197324,0.059128878800000007
'ShardedList','Reference', 'Query', 100,0.0027862662,0.003914892400000001,0.0024364954,0.0026859756000000004
'ShardedList','Reference', 'Delete', 100,0.0027862662,0.0029286666,0.0025333559999999996,0.0024667672
'ShardedList','Reference', 'Query', 1000,0.0030584124000000005,0.0034065954000000002,0.0027165546000000006,0.0025611507999999997
'ShardedList','Reference', 'Delete', 1000,0.0030584124000000005,0.0030204824000000007,0.0020484798,0.0020387176000000004
'ShardedList','Reference', 'Query', 10000,3.1117051998000003,0.0221861886,0.0052909226,0.0032101316000000004
'ShardedList','Reference', 'Delete', 10000,3.1117051998000003,0.0186326902,0.0046636748,0.0037343716000000004
'ShardedList','Reference', 'Query', 100000,169.00177179780002,0.028719976200000004,0.0221451626,0.0987734714
'ShardedList','Reference', 'Delete', 100000,169.00177179780002,0.05327558480000001,0.0272033356,0.0857092534
'ShardedList','Reference', 'Query', 1000000,12636.925109648,0.48620880460000004,0.1585583282,0.0384554846
'ShardedList','Reference', 'Delete', 1000000,12636.925109648,0.620095307,0.30949011400000004,0.0666005694
