'Index Name', 'Run', 'Phase', 'Population', 'Load Elapsed', 'COMPLETE Elapsed', 'COMPLETE Count', 'HIGHCARD Elapsed', 'HIGHCARD Count', 'LOWCARD Elapsed', 'LOWCARD Count'
'BF-Trie8','GateKeeper', 0,'Query',1000,2003079201,7.229186719,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 0,'Delete',1000,2003079201,0.009763198,1,1.661E-6,0,1.2480000000000002E-6,0
'BF-Trie8','GateKeeper', 1,'Query',1000,1171581217,7.284203038,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 1,'Delete',1000,1171581217,0.007420976,1,2.515E-6,0,1.9310000000000002E-6,0
'BF-Trie8','GateKeeper', 2,'Query',1000,1643668550,6.982355667,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 2,'Delete',1000,1643668550,0.009113519,1,8.310000000000001E-7,0,2.358E-6,0
'BF-Trie8','GateKeeper', 3,'Query',1000,1854384502,6.608485568000001,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 3,'Delete',1000,1854384502,0.00944764,1,1.763E-6,0,1.2790000000000002E-6,0
'BF-Trie8','GateKeeper', 4,'Query',1000,940899015,7.055417654,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 4,'Delete',1000,940899015,0.00738485,1,2.034E-6,0,1.562E-6,0
'Bloofi','GateKeeper', 0,'Query',100,64353184,0.020591717000000002,1,0.0,0,0.0,0
'Bloofi','GateKeeper', 0,'Delete',100,64353184,0.007454957000000001,1,1.151E-6,0,1.4990000000000002E-6,0
'Bloofi','GateKeeper', 1,'Query',100,21376475,0.001600814,1,0.0,0,0.0,0
'Bloofi','GateKeeper', 1,'Delete',100,21376475,0.0012707320000000001,1,1.271E-6,0,1.216E-6,0
'Bloofi','GateKeeper', 2,'Query',100,29723004,0.001395596,1,0.0,0,0.0,0
'Bloofi','GateKeeper', 2,'Delete',100,29723004,0.00142377,1,1.326E-6,0,1.1490000000000001E-6,0
'Bloofi','GateKeeper', 3,'Query',100,23428895,0.001336708,1,0.0,0,0.0,0
'Bloofi','GateKeeper', 3,'Delete',100,23428895,0.0017680010000000002,1,1.199E-6,0,1.0310000000000002E-6,0
'Bloofi','GateKeeper', 4,'Query',100,18329182,0.001282292,1,0.0,0,0.0,0
'Bloofi','GateKeeper', 4,'Delete',100,18329182,0.0012338520000000001,1,1.243E-6,0,8.510000000000001E-7,0
'Bloofi','GateKeeper', 0,'Query',1000,552124018,0.0012373730000000002,1,0.0,0,0.0,0
'Bloofi','GateKeeper', 0,'Delete',1000,552124018,0.001228925,1,1.082E-6,0,1.1410000000000002E-6,0
'Bloofi','GateKeeper', 1,'Query',1000,380803143,0.0011182990000000001,1,0.0,0,0.0,0
'Bloofi','GateKeeper', 1,'Delete',1000,380803143,0.0011067610000000002,1,1.8010000000000002E-6,0,1.364E-6,0
'Bloofi','GateKeeper', 2,'Query',1000,279540596,8.460680000000001E-4,1,0.0,0,0.0,0
'Bloofi','GateKeeper', 2,'Delete',1000,279540596,0.001311319,1,1.7890000000000002E-6,0,9.98E-7,0
'Bloofi','GateKeeper', 3,'Query',1000,279732656,7.503680000000001E-4,1,0.0,0,0.0,0
'Bloofi','GateKeeper', 3,'Delete',1000,279732656,0.001381948,1,1.56E-6,0,1.347E-6,0
'Bloofi','GateKeeper', 4,'Query',1000,287879772,7.265580000000001E-4,1,0.0,0,0.0,0
'Bloofi','GateKeeper', 4,'Delete',1000,287879772,3.7137700000000005E-4,1,1.32E-6,0,5.560000000000001E-7,0
'Bloofi','GateKeeper', 0,'Query',10000,54421114183,0.006129415,10,0.0,0,0.0,0
'Bloofi','GateKeeper', 0,'Delete',10000,54421114183,0.014858144,10,5.027E-6,0,4.628E-6,0
'Bloofi','GateKeeper', 1,'Query',10000,55132562905,0.004707748,10,0.0,0,0.0,0
'Bloofi','GateKeeper', 1,'Delete',10000,55132562905,0.002293769,10,4.11E-7,0,5.77E-7,0
'Bloofi','GateKeeper', 2,'Query',10000,54871813182,0.0014430600000000001,10,0.0,0,0.0,0
'Bloofi','GateKeeper', 2,'Delete',10000,54871813182,0.003266202,10,4.216E-6,0,3.1400000000000003E-7,0
'Bloofi','GateKeeper', 3,'Query',10000,54677191549,0.001085295,10,0.0,0,0.0,0
'Bloofi','GateKeeper', 3,'Delete',10000,54677191549,0.003906914,10,2.1900000000000002E-7,0,5.620000000000001E-7,0
'Bloofi','GateKeeper', 4,'Query',10000,54111991761,9.69958E-4,10,0.0,0,0.0,0
'Bloofi','GateKeeper', 4,'Delete',10000,54111991761,0.002401073,10,5.2E-7,0,7.040000000000001E-7,0
'FlatBloofi','GateKeeper', 0,'Query',100,18742240,0.015980622,1,0.0,0,0.0,0
'FlatBloofi','GateKeeper', 0,'Delete',100,18742240,0.027133917,1,9.71E-7,0,1.235E-6,0
'FlatBloofi','GateKeeper', 1,'Query',100,12153767,0.004823905000000001,1,0.0,0,0.0,0
'FlatBloofi','GateKeeper', 1,'Delete',100,12153767,0.012574999000000002,1,9.800000000000001E-7,0,1.013E-6,0
'FlatBloofi','GateKeeper', 2,'Query',100,6088822,0.004820699,1,0.0,0,0.0,0
'FlatBloofi','GateKeeper', 2,'Delete',100,6088822,0.012723028,1,1.199E-6,0,1.2530000000000001E-6,0
'FlatBloofi','GateKeeper', 3,'Query',100,7457569,0.004893062,1,0.0,0,0.0,0
'FlatBloofi','GateKeeper', 3,'Delete',100,7457569,0.012651036000000001,1,8.53E-7,0,1.037E-6,0
'FlatBloofi','GateKeeper', 4,'Query',100,7525205,0.004958352,1,0.0,0,0.0,0
'FlatBloofi','GateKeeper', 4,'Delete',100,7525205,0.012211860000000001,1,6.87E-7,0,1.086E-6,0
'FlatBloofi','GateKeeper', 0,'Query',1000,68675969,0.037714301000000006,1,0.0,0,0.0,0
'FlatBloofi','GateKeeper', 0,'Delete',1000,68675969,0.216762804,1,4.361E-6,0,7.7E-7,0
'FlatBloofi','GateKeeper', 1,'Query',1000,66276751,0.036554256,1,0.0,0,0.0,0
'FlatBloofi','GateKeeper', 1,'Delete',1000,66276751,0.06807685100000001,1,5.79E-7,0,3.47E-7,0
'FlatBloofi','GateKeeper', 2,'Query',1000,82456106,0.037473491000000005,1,0.0,0,0.0,0
'FlatBloofi','GateKeeper', 2,'Delete',1000,82456106,0.044753574000000004,1,5.64E-7,0,1.376E-6,0
'FlatBloofi','GateKeeper', 3,'Query',1000,65112737,0.035701554,1,0.0,0,0.0,0
'FlatBloofi','GateKeeper', 3,'Delete',1000,65112737,0.043056641,1,4.2900000000000004E-7,0,4.31E-6,0
'FlatBloofi','GateKeeper', 4,'Query',1000,63990126,0.035862858000000004,1,0.0,0,0.0,0
'FlatBloofi','GateKeeper', 4,'Delete',1000,63990126,0.053228035,1,8.88E-7,0,4.3800000000000003E-7,0
'FlatBloofi','GateKeeper', 0,'Query',10000,7224230171,0.952205081,10,0.0,0,0.0,0
'FlatBloofi','GateKeeper', 0,'Delete',10000,7224230171,4.541754739,10,2.4525000000000003E-5,0,9.410000000000001E-7,0
'FlatBloofi','GateKeeper', 1,'Query',10000,7123074731,1.1659340440000001,10,0.0,0,0.0,0
'FlatBloofi','GateKeeper', 1,'Delete',10000,7123074731,4.540570446,10,7.12E-7,0,8.170000000000001E-7,0
'FlatBloofi','GateKeeper', 2,'Query',10000,7693182994,1.036244646,10,0.0,0,0.0,0
'FlatBloofi','GateKeeper', 2,'Delete',10000,7693182994,4.60935246,10,7.200000000000001E-7,0,9.310000000000001E-7,0
'FlatBloofi','GateKeeper', 3,'Query',10000,7118324749,0.915837643,10,0.0,0,0.0,0
'FlatBloofi','GateKeeper', 3,'Delete',10000,7118324749,4.511828835,10,7.08E-7,0,7.87E-7,0
'FlatBloofi','GateKeeper', 4,'Query',10000,7074508987,0.9184025360000001,10,0.0,0,0.0,0
'FlatBloofi','GateKeeper', 4,'Delete',10000,7074508987,5.1340662550000005,10,6.730000000000001E-7,0,5.65E-7,0
'Hamming','GateKeeper', 0,'Query',100,12445333,0.076161618,1,0.0,0,0.0,0
'Hamming','GateKeeper', 0,'Delete',100,12445333,0.00517802,1,9.400000000000001E-7,0,8.05E-7,0
'Hamming','GateKeeper', 1,'Query',100,4938495,0.014878553000000001,1,0.0,0,0.0,0
'Hamming','GateKeeper', 1,'Delete',100,4938495,0.00488809,1,8.74E-7,0,8.830000000000001E-7,0
'Hamming','GateKeeper', 2,'Query',100,2389442,0.015575241000000002,1,0.0,0,0.0,0
'Hamming','GateKeeper', 2,'Delete',100,2389442,0.004876443,1,7.790000000000001E-7,0,7.61E-7,0
'Hamming','GateKeeper', 3,'Query',100,1033543,0.009547969,1,0.0,0,0.0,0
'Hamming','GateKeeper', 3,'Delete',100,1033543,0.004958962,1,7.890000000000001E-7,0,8.370000000000001E-7,0
'Hamming','GateKeeper', 4,'Query',100,1068968,0.006596127,1,0.0,0,0.0,0
'Hamming','GateKeeper', 4,'Delete',100,1068968,0.004784667,1,6.520000000000001E-7,0,8.030000000000001E-7,0
'Hamming','GateKeeper', 0,'Query',1000,23931543,0.022724578000000002,1,0.0,0,0.0,0
'Hamming','GateKeeper', 0,'Delete',1000,23931543,0.022103459000000002,1,1.7130000000000002E-6,0,5.63E-7,0
'Hamming','GateKeeper', 1,'Query',1000,23969237,0.032134387,1,0.0,0,0.0,0
'Hamming','GateKeeper', 1,'Delete',1000,23969237,0.029613707000000003,1,1.5810000000000002E-6,0,3.82E-7,0
'Hamming','GateKeeper', 2,'Query',1000,22118330,0.020761512000000003,1,0.0,0,0.0,0
'Hamming','GateKeeper', 2,'Delete',1000,22118330,0.057994473000000005,1,2.025E-6,0,3.5700000000000003E-7,0
'Hamming','GateKeeper', 3,'Query',1000,21624451,0.022100297,1,0.0,0,0.0,0
